Name,State,Type,Tuition_out
Pennsylvania State University-Penn State Berks,PA,Public,23692
Pennsylvania State University-Penn State Harrisburg,PA,Public,23692
Central Michigan University,MI,Public,23670
University of Louisiana at Lafayette,LA,Public,23616
West Virginia University,WV,Public,23616
Eastern Connecticut State University,CT,Public,23608
Augusta University,GA,Public,23606
University of Mississippi,MS,Public,23564
Prairie View A & M University,TX,Public,23488
East Carolina University,NC,Public,23420
Southern Connecticut State University,CT,Public,23226
Ramapo College of New Jersey,NJ,Public,23214
Austin Peay State University,TN,Public,23153
Western Connecticut State University,CT,Public,23107
Saginaw Valley State University,MI,Public,23063
Central Connecticut State University,CT,Public,22914
University of South Carolina-Upstate,SC,Public,22848
Radford University,VA,Public,22709
Western Washington University,WA,Public,22695
Boise State University,ID,Public,22642
Keene State College,NH,Public,22614
Pennsylvania State University-Penn State Abington,PA,Public,22558
Iowa State University,IA,Public,22472
University of Central Florida,FL,Public,22467
University of North Carolina at Greensboro,NC,Public,22409
Pennsylvania State University-Penn State Scranton,PA,Public,22378
Pennsylvania State University-Penn State Lehigh Valley,PA,Public,22378
Pennsylvania State University-Penn State Brandywine,PA,Public,22378
Pennsylvania State University-Penn State Hazleton,PA,Public,22378
Pennsylvania State University-Penn State York,PA,Public,22378
Mississippi State University,MS,Public,22358
Pennsylvania State University-Penn State Schuylkill,PA,Public,22316
Frostburg State University,MD,Public,22262
Plymouth State University,NH,Public,22230
Towson University,MD,Public,22140
Appalachian State University,NC,Public,22109
Texas A & M University-Kingsville,TX,Public,22102
University of Houston,TX,Public,22066
University of New Mexico-Main Campus,NM,Public,22038
Central Washington University,WA,Public,22010
Mansfield University of Pennsylvania,PA,Public,22008
Bloomsburg University of Pennsylvania,PA,Public,21980
Montana Technological University,MT,Public,21956
Idaho State University,ID,Public,21942
Rowan University,NJ,Public,21890
University of Nevada-Las Vegas,NV,Public,21853
University of Nevada-Reno,NV,Public,21788
East Stroudsburg University of Pennsylvania,PA,Public,21778
Texas Southern University,TX,Public,21623
Texas State University,TX,Public,21605
The University of Texas at El Paso,TX,Public,21596
West Chester University of Pennsylvania,PA,Public,21591
Millersville University of Pennsylvania,PA,Public,21560
Utah State University,UT,Public,21520
University of Alabama in Huntsville,AL,Public,21480
University of South Carolina-Beaufort,SC,Public,21423
Ohio University-Main Campus,OH,Public,21360
Pennsylvania State University-Penn State New Kensington,PA,Public,21328
Pennsylvania State University-Penn State Beaver,PA,Public,21328
Pennsylvania State University-Penn State Greater Allegheny,PA,Public,21328
California Polytechnic State University-San Luis Obispo,CA,Public,21312
Lander University,SC,Public,21300
Rhode Island College,RI,Public,21289
Western State Colorado University,CO,Public,21274
Pennsylvania State University-Penn State Fayette- Eberly,PA,Public,21266
University of Arkansas at Little Rock,AR,Public,21208
Pennsylvania State University-Penn State Wilkes-Barre,PA,Public,21202
University of Michigan-Flint,MI,Public,21165
Governors State University,IL,Public,21136
University of Northern Colorado,CO,Public,21132
